@IPDevice:ACCC8ED7C70F:1,-99.0364,19.2895,C2O-ZAPOTI-7810-A,ACTIVO
@IPDevice:ACCC8ECF1564:1,-99.1453,19.4439,C2C-BUENAV-10530-B,ACTIVO
@IPDevice:ACCC8ECF145B:1,-99.0074,19.1916,C2O-TECOMI-16419-A,ACTIVO
@IPDevice:ACCC8ED800D9:1,-99.2025,19.4223,C2P-TACUBA-5970-B,ACTIVO
@IPDevice:ACCC8ED80C45:1,-99.0003,19.3338,C2O-TEOTON-16326-A,ACTIVO
@IPDevice:ACCC8ECF1721:1,-99.0685,19.295,C2O-TEZONC-15857-A,ACTIVO
@IPDevice:ACCC8ECF1726:1,-99.1401,19.4275,C2C-ALAMED-492-A,ACTIVO
@IPDevice:ACCC8ED80D8A:1,-99.0836,19.4485,C2N-ARAGON-2132-A,ACTIVO
@IPDevice:ACCC8ED810B7:1,-99.241,19.3707,C2P-SANTAF-6363-A,ACTIVO
@IPDevice:ACCC8ED800C6:1,-99.1075,19.3528,C2O-GRANJA-15547-B,ACTIVO
@IPDevice:ACCC8ED7C6ED:1,-99.1016,19.4454,C2N-MOCTEZ-11835-B,ACTIVO
@IPDevice:ACCC8ED80400:1,-99.1075,19.3528,C2O-GRANJA-15547-A,ACTIVO
@IPDevice:ACCC8ECF15A0:1,-99.1234,19.5054,C2N-LINDAV-6864-B,ACTIVO
@IPDevice:ACCC8ECF0939:1,-99.1445,19.3873,C2S-NARVAR-3011-B,ACTIVO
@IPDevice:ACCC8ECF1450:1,-99.1289,19.482,C2N-LINDAV-2095-B,ACTIVO
@IPDevice:ACCC8ECEE3E6:1,-99.2184,19.394,C2P-PLATER-243-B,ACTIVO
@IPDevice:ACCC8ECEE3E2:1,-99.0181,19.3721,C2O-OASIS-16311-A,ACTIVO
@IPDevice:ACCC8ECF1457:1,-99.1381,19.2752,C2O-LANORI-7691-A,ACTIVO
@IPDevice:ACCC8ED800DE:1,-99.0692,19.4095,C2N-PANTIT-11651-B,ACTIVO
@IPDevice:ACCC8ED81130:1,-99.0406,19.31,C2O-ZAPOTI-16586-B,ACTIVO
@IPDevice:ACCC8ED800DF:1,-99.2045,19.4067,C2P-TACUBA-13372-B,ACTIVO
@IPDevice:ACCC8ED80C4B:1,-99.0689,19.4669,C2N-ARAGON-6770-B,ACTIVO
@IPDevice:ACCC8ED800DA:1,-99.1237,19.271,C2O-LANORI-1036-B,ACTIVO
@IPDevice:ACCC8ECEEE24:1,-99.1319,19.4871,C2N-LINDAV-9331-A,ACTIVO
@IPDevice:ACCC8ECF1715:1,-99.094,19.4606,C2N-ARAGON-6825-A,ACTIVO
